Entity,Code,Year,"Other renewables (TWh, substituted energy)","Biofuels (TWh, substituted energy)","Solar (TWh, substituted energy)","Wind (TWh, substituted energy)","Hydropower (TWh, substituted energy)","Nuclear (TWh, substituted energy)","Gas (TWh, substituted energy)","Oil (TWh, substituted energy)","Coal (TWh, substituted energy)","Traditional biomass (TWh, substituted energy)",Total (TWh),pop year,population,percent change,net change,density (ppl/km^2)
World,OWID_WRL,1800,0,0,0,0,0,0,0,0,97,5556,5653.00,1804.00,1000000000.00,,,7.00
World,OWID_WRL,1810,0,0,0,0,0,0,0,0,128,5833,5961.00,1850.00,1200000000.00,,,8.00
World,OWID_WRL,1820,0,0,0,0,0,0,0,0,153,6111,6264.00,1900.00,1600000000.00,,,11.00
World,OWID_WRL,1830,0,0,0,0,0,0,0,0,264,6389,6653.00,1927.00,2000000000.00,,,13.00
World,OWID_WRL,1840,0,0,0,0,0,0,0,0,356,6944,7300.00,1950.00,2493092848.00,,,17.00
World,OWID_WRL,1850,0,0,0,0,0,0,0,0,569,7222,7791.00,1952.00,2584086339.00,0.02,47159304.00,17.00
World,OWID_WRL,1860,0,0,0,0,0,0,0,0,1061,6944,8005.00,1953.00,2634106235.00,0.02,50019896.00,18.00
World,OWID_WRL,1870,0,0,0,0,0,0,0,6,1642,6944,8592.00,1954.00,2685894860.00,0.02,51788625.00,18.00
World,OWID_WRL,1880,0,0,0,0,0,0,0,33,2542,6944,9519.00,1955.00,2740213792.00,0.02,54318932.00,18.00
World,OWID_WRL,1890,0,0,0,0,38.88889,0,33,89,3856,6667,10683.89,1956.00,2795409994.00,0.02,55196202.00,19.00
World,OWID_WRL,1900,0,0,0,0,47.22222,0,64,181,5728,6111,12131.22,1957.00,2852618337.00,0.02,57208343.00,19.00
World,OWID_WRL,1910,0,0,0,0,91.666664,0,142,397,8656,6389,15675.67,1958.00,2911249671.00,0.02,58631334.00,20.00
World,OWID_WRL,1920,0,0,0,0,177.77777,0,233,889,9833,6944,18076.78,1959.00,2965950351.00,0.02,54700680.00,20.00
World,OWID_WRL,1930,0,0,0,0,363.8889,0,603,1756,10125,7222,20069.89,1960.00,3015470894.00,0.02,49520543.00,20.00
World,OWID_WRL,1940,0,0,0,0,533.3333,0,875,2653,11586,7222,22869.33,1962.00,3123374315.00,0.02,58504640.00,21.00
World,OWID_WRL,1950,0,0,0,0,925,0,2092,5444,12603,7500,28564.00,1963.00,3192807828.00,0.02,69433513.00,21.00
World,OWID_WRL,1960,0,0,0,0,1913.8889,0,4472,11097,15442,8889,41813.89,1964.00,3264487339.00,0.02,71679511.00,22.00
World,OWID_WRL,1965,55.94909,9.029861,0,0,2729.8867,72.469345,6303.821,18012.52,16177.694,9162,52523.37,1965.00,3334533703.00,0.02,70046364.00,22.00
World,OWID_WRL,1966,61.73761,9.209844,0,0,2909.136,97.70498,6868.8145,19427.398,16359.431,9218,54951.43,1966.00,3404041125.00,0.02,69507422.00,23.00
World,OWID_WRL,1967,62.35338,9.383716,0,0,2973.9692,116.35517,7374.058,20779.828,16095.518,9274,56685.47,1967.00,3473412880.00,0.02,69371755.00,23.00
World,OWID_WRL,1968,69.03192,9.5538,0,0,3132.3052,147.87189,8044.3477,22511.285,16333.144,9331,59578.54,1968.00,3545187251.00,0.02,71774371.00,24.00
World,OWID_WRL,1969,72.55872,9.723982,0,0,3316.9805,175.31136,8833.434,24446.174,16847,9387,63088.18,1969.00,3619491579.00,0.02,74304328.00,24.00
World,OWID_WRL,1970,80.33795,13.501495,0,0,3473.4265,223.80803,9614.809,26672.713,17087.006,9444,66609.60,1970.00,3694683794.00,0.02,75192215.00,25.00
World,OWID_WRL,1971,87.339066,13.562147,0,0,3628.942,311.28723,10293.19,28117.908,16986.389,9499,68937.62,1971.00,3769847865.00,0.02,75164071.00,25.00
World,OWID_WRL,1972,93.40202,14.823111,0,0,3798.6343,431.79926,10861.714,30331.377,17168.227,9553,72252.98,1972.00,3844917680.00,0.02,75069815.00,26.00
World,OWID_WRL,1973,100.246315,14.250557,0,0,3852.995,578.5737,11377.833,32722.137,17683.57,9608,75937.61,1973.00,3920805042.00,0.02,75887362.00,26.00
World,OWID_WRL,1974,106.87296,14.334716,0,0,4232.1367,756.48175,11659.859,32224.648,17696.432,9663,76353.77,1974.00,3996416096.00,0.02,75611054.00,27.00
World,OWID_WRL,1975,108.14721,13.688392,0,0,4284.333,1049.4498,11659.736,31992.346,18045.436,9718,76871.14,1975.00,4070735277.00,0.02,74319181.00,27.00
World,OWID_WRL,1976,120.57107,13.75119,0,0,4267.3394,1227.7115,12354.139,34059.953,18699.785,9774,80517.25,1976.00,4144246377.00,0.02,73511100.00,28.00
World,OWID_WRL,1977,127.26663,18.318535,0,0,4410.8594,1528.1376,12759.838,35189.734,19267.412,9830,83131.57,1977.00,4217863796.00,0.02,73617419.00,28.00
World,OWID_WRL,1978,135.02682,23.178776,0,0.008870971,4773.711,1775.7009,13293.947,36703.984,19467.492,9886,86059.05,1978.00,4292097502.00,0.02,74233706.00,29.00
World,OWID_WRL,1979,144.51552,28.023214,0,0.017741943,5012.6475,1846.8246,14118.029,37182.266,20370.578,9943,88645.90,1979.00,4368539528.00,0.02,76442026.00,29.00
World,OWID_WRL,1980,153.78857,32.78612,0,0.031048333,5120.4688,2020.0956,14236.961,35561.332,20877.783,10000,88003.25,1980.00,4447606236.00,0.02,79066708.00,30.00
World,OWID_WRL,1981,164.9076,29.747923,0,0.031048333,5230.6284,2385.6428,14395.874,34295.707,21158.002,10106,87766.54,1981.00,4528777306.00,0.02,81171070.00,30.00
World,OWID_WRL,1982,191.2329,37.556244,0,0.054704167,5325.266,2588.3174,14469.731,33270.605,21395.428,10213,87491.19,1982.00,4612673421.00,0.02,83896115.00,31.00
World,OWID_WRL,1983,211.77058,49.01924,0.008870971,0.09697445,5552.5425,2933.459,14703.827,33099.758,22050.973,10321,88922.46,1983.00,4697327573.00,0.02,84654152.00,32.00
World,OWID_WRL,1984,236.32066,57.806427,0.01866189,0.13234167,5740.62,3559.8567,15902.676,33624.37,23008.44,10430,92560.24,1984.00,4782175519.00,0.02,84847946.00,32.00
World,OWID_WRL,1985,243.1773,68.410095,0.034737222,0.18989834,5852.6025,4224.8374,16262.218,33686.312,23996.738,10541,94875.52,1985.00,4868943465.00,0.02,86767946.00,33.00
World,OWID_WRL,1986,263.69818,84.202995,0.044898335,0.4105228,5931.9365,4525.0864,16421.107,34717.92,24263.818,10653,96861.22,1986.00,4958072838.00,0.02,89129373.00,33.00
World,OWID_WRL,1987,282.46243,85.33012,0.031353056,0.57772696,6012.1284,4922.331,17281.893,35513.05,25228.488,10765,100091.29,1987.00,5049746397.00,0.02,91673559.00,34.00
World,OWID_WRL,1988,290.88327,89.5602,0.030149445,0.98047805,6204.795,5366.448,18088.844,36628.914,25983.08,10879,103532.54,1988.00,5141992542.00,0.02,92246145.00,35.00
World,OWID_WRL,1989,322.37277,95.68924,0.77539134,7.835361,6172.972,5518.9966,18888.648,37209.367,26231.049,10995,105442.71,1989.00,5234431732.00,0.02,92439190.00,35.00
World,OWID_WRL,1990,361.2137,106.56911,1.1483467,10.741176,6383.0127,5676.7207,19481.15,37608.004,25916.205,11111,106655.76,1990.00,5327803110.00,0.02,93371378.00,36.00
World,OWID_WRL,1991,376.84137,110.64683,1.4942346,12.082574,6530.634,5948.311,19972.838,37688.625,25667.406,11243,107551.88,1991.00,5418735891.00,0.02,90932781.00,36.00
World,OWID_WRL,1992,404.81308,108.705635,1.379965,13.994875,6529.961,5993.464,20063.482,38192.87,25567.281,11376,108251.95,1992.00,5505989816.00,0.02,87253925.00,37.00
World,OWID_WRL,1993,418.26727,114.34006,1.6460896,16.867165,6923.2563,6199.8696,20265.482,38024.57,25689.945,11511,109165.24,1993.00,5591544797.00,0.02,85554981.00,38.00
World,OWID_WRL,1994,434.6814,124.101776,1.7652723,21.088448,6966.385,6316.248,20389.613,38852.324,25791.27,11647,110544.48,1994.00,5675551255.00,0.02,84006458.00,38.00
World,OWID_WRL,1995,454.28992,131.0704,1.8891695,24.46058,7343.3516,6590.2134,21104.492,39431.895,25975.748,11785,112842.41,1995.00,5758878982.00,0.01,83327727.00,39.00
World,OWID_WRL,1996,466.36447,125.784515,2.0676155,27.250433,7442.195,6828.8057,22159.254,40326.613,26592.398,11925,115895.73,1996.00,5842055734.00,0.01,83176752.00,39.00
World,OWID_WRL,1997,499.9769,130.03065,2.2167242,35.56731,7573.902,6781.843,22030.393,41422.082,26547.277,12066,117089.29,1997.00,5924787816.00,0.01,82732082.00,40.00
World,OWID_WRL,1998,520.5851,133.38396,2.4006376,47.10265,7631.793,6898.5522,22434,41583.832,26380.133,12209,117840.78,1998.00,6007066690.00,0.01,82278874.00,40.00
World,OWID_WRL,1999,546.1845,135.24736,2.6769266,62.76771,7689.5576,7161.0527,23071.904,42266.777,26492.46,12414,119842.63,1999.00,6089006339.00,0.01,81939649.00,41.00
World,OWID_WRL,2000,571.59485,132.5088,3.1288824,92.87769,7826.0874,7322.6826,23994.258,42983.434,27441.488,12500,122868.06,2000.00,6171702993.00,0.01,82696654.00,41.00
World,OWID_WRL,2001,593.64764,131.42497,4.1780615,112.75232,7575.298,7480.557,24316.832,43366.16,27864.717,12500,123945.57,2001.00,6254936459.00,0.01,83233466.00,42.00
World,OWID_WRL,2002,639.16516,149.31444,5.2459383,152.89378,7665.1787,7551.0767,25028.285,43650.74,28967.592,12470,126279.49,2002.00,6337730342.00,0.01,82793883.00,43.00
World,OWID_WRL,2003,674.7164,168.93098,6.5339413,183.53323,7606.731,7350.6562,25727.732,44580.05,31511.33,12329,130139.21,2003.00,6420361634.00,0.01,82631292.00,43.00
World,OWID_WRL,2004,729.3295,201.0801,8.554863,246.72241,8116.2583,7635.77,26734.273,46367.14,33689.84,12160,135888.97,2004.00,6503377772.00,0.01,83016138.00,44.00
World,OWID_WRL,2005,790.0188,234.50829,11.97846,299.59113,8336.13,7607.3535,27438.984,46965.55,36190.766,12076,139950.88,2005.00,6586970132.00,0.01,83592360.00,44.00
World,OWID_WRL,2006,841.3214,294.60794,16.379019,379.86957,8599.477,7653.7217,28161.39,47468.766,38073.168,11993,143481.70,2006.00,6671452015.00,0.01,84481883.00,45.00
World,OWID_WRL,2007,913.18494,391.57074,22.07666,484.94913,8687.611,7450.836,29315.705,48022.76,40233.906,11911,147433.60,2007.00,6757308781.00,0.01,85856766.00,45.00
World,OWID_WRL,2008,976.6596,535.71674,35.639404,622.1818,9137.198,7381.602,30026.688,47628.992,40786.047,11829,148959.72,2008.00,6844457662.00,0.01,87148881.00,46.00
World,OWID_WRL,2009,1049.248,611.32715,58.819504,773.0152,9066.074,7232.23,29405.7,46566.07,40189.99,11747,146699.47,2009.00,6932766416.00,0.01,88308754.00,47.00
World,OWID_WRL,2010,1175.8253,692.14124,94.092354,961.4859,9520.543,7373.091,31593.82,48058.23,41988.312,11667,153124.54,2010.00,7021732148.00,0.01,88965732.00,47.00
World,OWID_WRL,2011,1235.6885,728.7748,181.25386,1215.6805,9634.819,7021.4863,32349.117,48400.32,43940.797,11553,156260.94,2011.00,7110923765.00,0.01,89191617.00,48.00
World,OWID_WRL,2012,1340.7991,757.5906,278.34863,1454.6155,9984.604,6500.3687,33203.137,49164.34,44060.996,11441,158185.80,2012.00,7201202485.00,0.01,90278720.00,48.00
World,OWID_WRL,2013,1447.8152,820.77637,377.7912,1732.0547,10323.586,6512.8066,33720.78,49654.363,44709.242,11330,160629.22,2013.00,7291793585.00,0.01,90591100.00,49.00
World,OWID_WRL,2014,1569.6027,866.74524,534.49097,1912.3324,10535.131,6606.0083,33961.7,50011.83,44893.17,11220,162111.01,2014.00,7381616244.00,0.01,89822659.00,50.00
World,OWID_WRL,2015,1696.5198,900.52325,689.423,2238.7305,10445.365,6655.106,34752.11,50977.21,43680.504,11111,163146.49,2015.00,7470491872.00,0.01,88875628.00,50.00
World,OWID_WRL,2016,1720.5377,941.4909,879.1255,2575.6736,10749.688,6714.155,35229.35,52060.85,42736.863,11111,164718.73,2016.00,7558554526.00,0.01,88062654.00,51.00
World,OWID_WRL,2017,1817.4558,960.0048,1185.0981,3038.9753,10826.592,6734.279,36517.57,52978.805,43193.28,11111,168363.06,2017.00,7645617954.00,0.01,87063428.00,51.00
World,OWID_WRL,2018,1964.7401,1039.946,1520.514,3361.3286,11080.882,6855.408,38321.44,53521.39,43852.793,11111,172629.44,2018.00,7729902781.00,0.01,84284827.00,52.00
World,OWID_WRL,2019,2063.5728,1119.6278,1859.5966,3746.7087,11184.757,7071.7817,39084.457,53618.926,43597.168,11111,174457.60,2019.00,7811293698.00,0.01,81390917.00,52.00
World,OWID_WRL,2020,2181.6755,1070.2726,2245.2683,4188.1113,11449.073,6776.8657,38714.09,48745.684,42296.684,11111,168778.72,2020.00,7887001292.00,0.01,75707594.00,53.00
World,OWID_WRL,2021,2351.1943,1131.0247,2751.7537,4865.935,11222.464,7037.07,40239.016,51530.496,44600.08,11111,176840.03,2021.00,7954448391.00,0.01,67447099.00,53.00
World,OWID_WRL,2022,2414.304,1193.2262,3446.4075,5495.7437,11271.807,6703.8745,40086.88,53226.84,44869.12,11111,179819.20,2022.00,8021407192.00,0.01,66958801.00,54.00
World,OWID_WRL,2023,2427.8613,1317.6246,4264.261,6040.359,11014.117,6824.1777,40101.74,54564,45564.93,11111,183230.07,2023.00,8091734930.00,0.01,70327738.00,54.00
